Company,Product,TypeName,Inches,Ram,OS,Weight,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_company,CPU_freq,CPU_model,PrimaryStorage,SecondaryStorage,PrimaryStorageType,SecondaryStorageType,GPU_company,GPU_model,target
3.955382666405177,1.0912430988709247,1.0,-1.4374999999999996,0.0,568.9467043452732,-0.8271604938271604,1.0,640.0,520.0,0.0,1.0,1.0,0.0,-0.2857142857142859,0.7536115402375456,-0.5,0.0,0.0,0.0,0.0,2.301141429298804,1339.69
3.955382666405177,0.02923082778066803,1.0,-1.4374999999999996,0.0,568.9467043452732,-0.8641975308641974,1.0,-480.0,-180.0,0.0,0.0,0.0,0.0,-0.9999999999999997,0.7536115402375456,-0.5,0.0,-1.5,0.0,0.0,-0.45926004398295633,898.94
-0.113930690357893,-0.5810121023730533,0.0,0.0,0.0,-592.7107315521628,-0.22222222222222213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2707464321057794,0.0,0.0,0.0,0.0,0.0,0.0,575.0
3.955382666405177,1.0912430988709247,1.0,-0.12499999999999958,2.0,568.9467043452732,-0.2592592592592592,1.0,960.0,720.0,0.0,1.0,1.0,0.0,0.2857142857142859,3.1418192249176693,1.0,0.0,0.0,0.0,-2.0,5.181284026603144,2537.45
3.955382666405177,1.0912430988709247,1.0,-1.4374999999999996,0.0,568.9467043452732,-0.8271604938271604,1.0,640.0,520.0,0.0,1.0,1.0,0.0,0.8571428571428571,0.7536115402375456,0.0,0.0,0.0,0.0,0.0,2.888717498186489,1803.6
-3.8718021459472953,-0.6534769519791486,0.0,0.0,-1.0,0.0,0.07407407407407414,1.0,-554.0,-312.0,0.0,0.0,0.0,-1.0,0.7142857142857141,-1.2969762756423817,0.953125,0.0,-1.0,0.0,-2.0,-2.614034595081554,400.0
3.955382666405177,1.0912430988709247,1.0,-0.12499999999999958,2.0,82.18718511450379,0.0,1.0,960.0,720.0,0.0,1.0,1.0,0.0,-0.4285714285714282,3.1418192249176693,0.0,0.0,-1.5,0.0,0.0,3.7011421542486374,2139.97
3.955382666405177,0.02923082778066803,1.0,-1.4374999999999996,0.0,568.9467043452732,-0.8641975308641974,1.0,-480.0,-180.0,0.0,0.0,0.0,0.0,-0.9999999999999997,0.7536115402375456,0.0,0.0,-1.5,0.0,0.0,-0.45926004398295633,1158.7
0.2520175541593029,0.5361341029519406,1.0,-1.0,2.0,0.0,-0.9135802469135802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999999999999997,0.3517656909391136,1.0,0.0,0.0,0.0,1.0,-0.585142359104019,1495.0
-3.8718021459472953,-0.25698282379293547,1.0,-1.0,0.0,0.0,-0.5432098765432097,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.2857142857142854,-0.21716945297441484,0.0,0.0,0.0,0.0,0.0,0.22234787738275943,770.0
-0.113930690357893,-0.5810121023730533,0.0,0.0,-1.0,-592.7107315521628,-0.22222222222222213,1.0,-554.0,-312.0,0.0,0.0,0.0,0.0,0.0,-0.2707464321057794,0.953125,0.0,-1.0,0.0,0.0,0.0,393.9
-0.113930690357893,-0.5810121023730533,0.0,0.0,-1.0,-592.7107315521628,-0.22222222222222213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7142857142857141,-1.1955771308597125,0.953125,0.0,-1.0,0.0,0.0,-0.3553429414087507,344.99
3.955382666405177,1.0912430988709247,1.0,-0.12499999999999958,2.0,568.9467043452732,-0.2592592592592592,1.0,960.0,720.0,0.0,1.0,1.0,0.0,0.4285714285714282,3.1418192249176693,0.0,0.0,0.0,0.0,-2.0,4.818286568323187,2439.97
0.886069309642107,-0.49498488290042286,0.0,0.0,-1.0,0.0,0.19753086419753102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7142857142857141,-1.1955771308597125,0.0,0.0,0.0,0.0,-2.0,-2.1194520815538587,498.9
3.955382666405177,0.3022439864961921,1.0,-2.2500000000000004,0.0,568.9467043452732,-1.3827160493827162,1.0,384.0,360.0,0.0,1.0,1.0,0.0,-1.8571428571428568,0.47283419276019556,0.0,0.0,0.0,0.0,0.0,1.2670759864511782,1262.4
3.955382666405177,1.0912430988709247,1.0,-1.4374999999999996,0.0,568.9467043452732,-0.8271604938271604,1.0,640.0,520.0,0.0,1.0,1.0,0.0,-0.2857142857142859,0.7536115402375456,0.0,0.0,0.0,0.0,0.0,2.301141429298804,1518.55
0.886069309642107,-0.49498488290042286,0.0,0.0,0.0,0.0,0.19753086419753102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142859,0.6604713206650284,0.0,0.0,0.0,0.0,-2.0,-2.1194520815538587,745.0
3.955382666405177,1.0912430988709247,1.0,-0.12499999999999958,2.0,568.9467043452732,-0.2592592592592592,1.0,960.0,720.0,0.0,1.0,1.0,0.0,0.5714285714285712,3.1418192249176693,1.0,0.0,0.0,0.0,-2.0,6.374952833041802,2858.0
0.0,-0.29025372004264716,0.0,0.0,0.0,-592.7107315521628,0.19753086419753102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14285714285714296,-0.9636540156175937,3.0,0.0,-1.0,0.0,1.0,-0.7833994091263451,499.0
0.886069309642107,0.7172512441156433,1.0,-1.4374999999999996,0.0,0.0,-1.0123456790123457,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.2857142857142854,-0.21716945297441484,-0.5,0.0,0.0,0.0,0.0,0.22234787738275943,979.0
